x,y,z,ts
0.03811544552445412,0.10526438057422638,-0.022852834314107895,1637234959225000000
0.032006800174713135,0.038069259375333786,-0.002083434723317623,1637234959238706020
0.019789505749940872,0.01363467052578926,0.0003600241616368294,1637234959241205186
0.0039070239290595055,-0.014465106651186943,0.006468671374022961,1637234959243659093
-0.01564064621925354,-0.04134315624833107,0.006468671374022961,1637234959246114509
-0.03152313083410263,-0.06455601006746292,0.007690400816500187,1637234959248524093
-0.04740561172366142,-0.08043849468231201,0.008912130258977413,1637234959251023207
-0.06206636503338814,-0.08166021853685379,0.011355589143931866,1637234959253477530
-0.07550538331270218,-0.06699947267770767,0.017464235424995422,1637234959255932426
-0.08772268146276474,-0.07677330821752548,0.023572884500026703,1637234959258342322
-0.09016614407300949,-0.059669096022844315,0.03090326115489006,1637234959260841072
-0.08405749499797821,-0.049895260483026505,0.032124992460012436,1637234959263295603
-0.0742836594581604,-0.046230074018239975,0.028459802269935608,1637234959265750291
-0.05717944726347923,-0.030347589403390884,0.02112942561507225,1637234959268160447
-0.040075235068798065,-0.034012775868177414,0.016242507845163345,1637234959270659301
-0.026636213064193726,-0.016908565536141396,0.018685966730117798,1637234959273113572
-0.011975458823144436,-0.01202164776623249,0.02723807469010353,1637234959275568363
-0.002201623283326626,-0.01568683609366417,0.039455365389585495,1637234959277978572
0.0039070239290595055,0.002639106009155512,0.051672663539648056,1637234959280477843
0.00879394169896841,0.01729985885322094,0.05655958130955696,1637234959282932270
0.010015671141445637,0.038069259375333786,0.052894387394189835,1637234959285386176
0.00879394169896841,0.035625800490379333,0.03456844761967659,1637234959287835916
0.011237400583922863,0.031960610300302505,0.006468671374022961,1637234959290295916
0.014902588911354542,0.034404072910547256,-0.026518024504184723,1637234959292750447
0.013680859468877316,0.03684752807021141,-0.061948176473379135,1637234959295204405
0.010015671141445637,0.038069259375333786,-0.08882622420787811,1637234959297671072
0.006350482814013958,0.03929099068045616,-0.10593044012784958,1637234959300113311
0.00879394169896841,0.04051271826028824,-0.10715217143297195,1637234959302567895
0.00879394169896841,0.051508281379938126,-0.09615660458803177,1637234959305022530
0.00879394169896841,0.05395174399018288,-0.07783066481351852,1637234959307489561
0.011237400583922863,0.03929099068045616,-0.058282990008592606,1637234959309931697
0.018567778170108795,0.02951715514063835,-0.04728742316365242,1637234959312387009
0.030785072594881058,0.016078129410743713,-0.04484396427869797,1637234959314840499
0.04055890813469887,0.01363467052578926,-0.05095260962843895,1637234959317295291
0.04300236329436302,0.002639106009155512,-0.055839527398347855,1637234959319749822
0.03567199036478996,-0.007134729530662298,-0.0533960722386837,1637234959322204041
0.024676423519849777,-0.023017212748527527,-0.038735318928956985,1637234959324658676
0.010015671141445637,-0.023017212748527527,-0.014300729148089886,1637234959327113416
-0.011975458823144436,-0.018130294978618622,0.016242507845163345,1637234959329569041
